latitude_deg,longitude_deg,STATE,IATA
33.52690125,-112.2949982,Arizona,
25.499201,-80.554296,Florida,
26.43320084,-81.40100098,Florida,IMM
31.07449913,-81.42780304,Georgia,
35.96390152,-83.87390137,Tennessee,
26.74419975,-81.43260193,Florida,
38.20240021,-121.2679977,California,
45.86489868,-84.63729858,Michigan,MCD
42.3280983,-72.61139679,Massachusetts,
38.84759903,-94.73760223,Kansas,OJC
39.4878006,-121.6220016,California,OVE
42.9109993,-82.52890015,Michigan,PHN
37.40650177,-77.52500153,Virginia,
28.08679962,-97.04460144,Texas,RKP
38.2234993,-122.4499969,California,
33.15980148,-95.62110138,Texas,SLR
40.13259888,-83.75340271,Ohio,
41.34960175,-71.80339813,Rhode Island,WST
38.673901,-121.872002,California,
45.44910049,-98.42179871,South Dakota,ABR
35.07300186,-77.04290009,North Carolina,EWN
41.67610168,-70.95690155,Massachusetts,EWB
35.74110031,-81.38950348,North Carolina,HKY
44.90950012,-123.0029984,Oregon,SLE
39.84030151,-83.84020233,Ohio,SGH
37.37310028,-118.3639984,California,BIH
45.54940033,-122.401001,Oregon,TTD
48.177898,-103.641998,North Dakota,ISN
36.76250076,-96.01119995,Oklahoma,BVO
32.66949844,-115.5130005,California,CXL
41.53490067,-87.52950287,Illinois,
29.06699944,-81.28379822,Florida,
40.27970123,-83.1147995,Ohio,
39.784194,-104.537639,Colorado,
38.804199,-76.069,Maryland,ESN
32.56520081,-97.30809784,Texas,
41.6391983,-91.54650116,Iowa,IOW
43.42660141,-88.70320129,Wisconsin,UNU
38.95970154,-94.37139893,Missouri,
39.077999,-77.557503,Virginia,
28.34160042,-80.6855011,Florida,COI
41.50999832,-74.26460266,New York,MGJ
29.7045,-98.042198,Texas,
41.53239822,-71.28150177,Rhode Island,NPT
35.2456,-97.472099,Oklahoma,OUN
37.75630188,-120.8000031,California,ODC
38.14609909,-120.6480026,California,
38.25770187,-122.4339981,California,
37.15179825,-94.49829865,Missouri,JLN
37.22529984,-89.57080078,Missouri,CGI
34.26810074,-88.76989746,Mississippi,TUP
46.56819916,-120.5439987,Washington,YKM
39.14599991,-86.61669922,Indiana,BMG
38.95090103,-95.66359711,Kansas,FOE
43.169498,-86.238197,Michigan,MKG
37.0821991,-84.0848999,Kentucky,LOZ
35.51110077,-108.7890015,New Mexico,GUP
39.707901,-77.72949982,Maryland,HGR
39.09780121,-121.5699997,California,MYV
36.00899887,-86.52010345,Tennessee,MQY
61.25099945,-149.8070068,Alaska,EDF
32.26229858,-107.7210007,New Mexico,DMN
44.34889984,-105.5390015,Wyoming,GCC
30.74690056,-95.58719635,Texas,HTV
37.85829926,-80.39949799,West Virginia,LWB
43.15779877,-93.33129883,Iowa,MCW
31.4177,-110.848,Arizona,OLS
36.73199844,-97.09980011,Oklahoma,PNC
43.23379898,-75.40699768,New York,RME
34.804298,-96.671303,Oklahoma,ADT
38.57849884,-122.4349976,California,
40.18690109,-74.12490082,New Jersey,BLM
46.67699814,-122.9830017,Washington,CLS
40.28239822,-121.2409973,California,
